session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
2017-05-31_16-52-07	lines	80	100	10	-1	4	0	100	1496249527.27	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100								
2017-05-31_16-52-07	lines	80	100	10	-1	4	0	100	1496249527.27	83024	G1_1	1	search	1	1	-161.307677929	3.37442840919	-41.1785168881	-16.5105745084	28.8050205834	-64.603474837	-1.0	0.0209192051644	-0.255279335844	-0.10235454828	0.178571912715	-0.400498449091							11	11	0	0	0	480	1	68
2017-05-31_16-52-07	lines	80	100	10	-1	4	0	100	1496249527.27	7477	G1_2	1	search	2	1	-16.8382688899	53.3693726584	26.0557091005	-55.5223406856	-22.8742528003	138.358011462	-0.121700714776	0.385733880493	0.188320927897	-0.401294728791	-0.165326550726	1.0							0	0	0	0	0	0	0	34
2017-05-31_16-52-07	lines	80	100	10	-1	4	0	100	1496249527.27	16301	G1_3	1	search	3	1	-87.9580476842	15.887480791	15.1239610365	-34.4022500059	62.2102166218	-157.012919453	-0.560196243663	0.101185818634	0.0963230356403	-0.219104581493	0.396210813979	-1.0							0	0	0	0	0	0	0	28
2017-05-31_16-52-07	lines	80	100	10	-1	4	0	100	1496249527.27	38154	G1_4	1	search	4	1	204.092912276	7.07315244589	-50.9790066022	-63.5457339845	-64.7450893482	28.220372961	1.0	0.0346565315131	-0.249783326788	-0.311356887781	-0.317233404268	0.138272185184							2	2	0	0	0	80	0	42
