session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	mean_ht	max_ht	min_ht	all_ht	max_ht_diff	min_ht_diff	cleared	deep_wells	max_well	cuml_cleared	cuml_eroded	pit_depth	pit_rows	column_9	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	mean_ht_norm	max_ht_norm	min_ht_norm	all_ht_norm	max_ht_diff_norm	min_ht_diff_norm	cleared_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	cuml_eroded_norm	pit_depth_norm	pit_rows_norm	column_9_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	mean_ht_var	max_ht_var	min_ht_var	all_ht_var	max_ht_diff_var	min_ht_diff_var	cleared_var	deep_wells_var	max_well_var	cuml_cleared_var	cuml_eroded_var	pit_depth_var	pit_rows_var	column_9_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-06-19_14-51-36	score	80	200	10	800	4	0	100	1497883896.57	NIL	G0	0	base	0	0	-17.66627	-4.31830428	-17.62824	-19.715534	-47.29814	-3.5408084	10.7635258	-0.75828068	0.03556511	7.044991	5.71676756	1.9760918	2.3401903	-1.9555245	13.718601	7.3842672	-1.11952724	-16.931134	-7.885103	8.436755	20.529815	-0.373508767998	-0.0912996637923	-0.372704719467	-0.416835292043	-1.0	-0.0748614723539	0.227567633738	-0.0160319344482	0.000751934642673	0.148948584448	0.120866646342	0.0417794822376	0.0494774276536	-0.0413446384995	0.290045253365	0.156121724871	-0.0236695827785	-0.357966169494	-0.166710635978	0.178373927601	0.434051212162	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0									
2017-06-19_14-51-36	score	80	200	10	800	4	0	100	1497883896.57	54437	G1_1	1	search	1	1	-23.4390383118	9.19366435211	-27.8680808716	-0.0	-41.6421961118	-0.0	-5.94823659538	7.07413058959	-0.0	16.3969317349	-4.87383893798	-1.00644868006	13.0997433047	-4.76630153624	5.39514045602	14.4758009906	0.0	-27.593157125	31.5735878288	-6.06678865689	15.2732751517	-0.562867487797	0.220777605663	-0.669226973448	-0.0	-1.0	-0.0	-0.142841568188	0.169878902895	-0.0	0.393757612853	-0.117040871833	-0.0241689625916	0.314578589217	-0.114458457557	0.12955946035	0.347623380662	0.0	-0.662624926192	0.75821140038	-0.145688489642	0.366774007563																						23	4	3	3	1	-1250.0	2	100	17
2017-06-19_14-51-36	score	80	200	10	800	4	0	100	1497883896.57	35650	G1_2	1	search	2	1	-13.9027631635	11.1575771552	-21.6857688858	-0.0	-45.7388798119	0.0	16.9589351816	-9.13243940401	-0.0	18.9774765937	1.81629471969	-14.1351375798	-9.37630572336	-6.15327681055	18.9793160458	8.25062534266	-0.0	-3.88295842856	-16.5188589414	37.773660059	11.7404789178	-0.303959415286	0.243940761144	-0.474121119166	-0.0	-1.0	0.0	0.370777230473	-0.199664693179	-0.0	0.414909081109	0.039710083132	-0.309039872378	-0.204996400479	-0.134530553347	0.414949297488	0.180385382777	-0.0	-0.0848940429789	-0.361155739043	0.825854507464	0.256684880918																						0	0	0	0	0	0	0	43	17
2017-06-19_14-51-36	score	80	200	10	800	4	0	100	1497883896.57	95746	G1_3	1	search	3	1	-15.3058770293	-13.2752476646	-13.5641940438	-0.0	-47.268092876	-0.0	-2.65631351184	4.07815329342	-0.0	-7.64961092178	8.08509875476	-6.64050506849	17.6075523188	3.77375028818	18.0241705272	31.5351676926	-0.0	-18.7825886178	-16.1444910557	5.63187292974	20.8944159632	-0.323809912734	-0.280850079978	-0.286963006513	-0.0	-1.0	-0.0	-0.0561967566327	0.0862770855621	-0.0	-0.161834558078	0.171047703912	-0.140485995191	0.372503971442	0.0798371598804	0.381317913004	0.667155490603	-0.0	-0.397362945593	-0.341551564139	0.119147454172	0.44204059635																						98	39	13	7	3	11120.0	9	285	17
2017-06-19_14-51-36	score	80	200	10	800	4	0	100	1497883896.57	54436	G1_4	1	search	4	1	-22.4020078742	-15.0869604701	0.870410223553	-0.0	-49.5521532298	0.0	7.08662950326	3.91897982736	-0.0	-8.08818284501	-10.5656654005	3.2126211775	5.76659945574	-9.30336444805	15.4636694746	6.97659428635	-0.0	-22.1789673146	-4.73276548101	24.0982828897	27.5979714825	-0.452089493878	-0.304466294333	0.017565537859	-0.0	-1.0	0.0	0.143013553223	0.0790879824976	-0.0	-0.16322565858	-0.213223133846	0.0648331297047	0.11637434662	-0.187748944126	0.312068567493	0.140792959168	-0.0	-0.447588366377	-0.0955107936292	0.486321609032	0.556947976701																						24	12	3	2	0	-6510.0	2	101	17
2017-06-19_14-51-36	score	80	200	10	800	4	0	100	1497883896.57	58888	G1_5	1	search	5	1	-19.904455989	-8.30889208628	-5.02007053843	-0.0	-40.9391376998	-0.0	-0.888519601972	-0.468032440951	-0.0	17.0898276068	17.1669181545	6.62916101742	-3.95771727635	12.5617909047	12.0585761492	9.73967264482	-0.0	-6.25750384545	0.0878317203305	13.4475955218	4.37348350578	-0.486196268592	-0.202957183593	-0.122622771766	-0.0	-1.0	-0.0	-0.0217034273777	-0.0114323961678	-0.0	0.417444737897	0.419327790449	0.161927226363	-0.0966731958396	0.306840632472	0.294548855368	0.237906150253	-0.0	-0.152848941063	0.00214542184485	0.328477742262	0.106828911196																						0	0	0	0	0	0	0	42	17
2017-06-19_14-51-36	score	80	200	10	800	4	0	100	1497883896.57	29792	G1_6	1	search	6	1	-13.4512572046	-10.3296323719	-29.5291373603	-0.0	-27.0116717829	-0.0	0.691725620706	6.6985571203	0.0	8.52425742039	-5.10446798649	5.36097108981	-4.40761094947	-2.57197420362	16.498400708	6.01441778901	0.0	-26.3933974916	5.57931582216	2.5213496174	44.8381274563	-0.299995962537	-0.230376087449	-0.658572046505	-0.0	-0.602426401709	-0.0	0.0154271745933	0.149394220952	0.0	0.190111806714	-0.113842131152	0.119562778241	-0.0983005134139	-0.0573613205887	0.367954721662	0.134136239183	0.0	-0.588637371561	0.124432400251	0.0562322683937	1.0																						200	107	20	7	8	151640.0	20	540	17
2017-06-19_14-51-36	score	80	200	10	800	4	0	100	1497883896.57	55793	G1_7	1	search	7	1	7.97282186603	-15.6543025673	-1.21212264063	-0.0	-23.969984506	0.0	15.0484537167	13.5926481433	0.0	22.3401855245	-9.20079313102	10.221856236	4.7256935297	-9.94451459514	28.6012520566	14.086087358	-0.0	-6.72929437992	7.72069636889	4.44696370249	22.4172607812	0.278757791801	-0.547329275529	-0.0423800551888	-0.0	-0.838074656961	0.0	0.52614667662	0.475246612156	0.0	0.781091173223	-0.321691970436	0.357391914722	0.165226806167	-0.347695079064	1.0	0.492498976274	-0.0	-0.235279713161	0.269942600891	0.155481434648	0.783785994295																						0	0	0	0	0	0	0	37	17
