session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	10010	G9_T10_R3	9	test	10	3	-17.6522883101	2.60267707204	-17.5710662434	-58.6241426378	-54.6347682299	-9.50270604814	-1.4498783572	83.4070387201	-9.16690371884	-5.58932234071	-1.14970314551	25.8675067203	-0.211640271384	0.031204525565	-0.210666467879	-0.702868049715	-0.655037860932	-0.113931704014	-0.0173831654912	1.0	-0.109905636976	-0.0670125978152	-0.0137842460678	0.310135776515													232	40	28	16	22	406420	23	600	12
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	NIL	G9	9	result	0	0	-17.6522883101	2.60267707204	-17.5710662434	-58.6241426378	-54.6347682299	-9.50270604814	-1.4498783572	83.4070387201	-9.16690371884	-5.58932234071	-1.14970314551	25.8675067203	-0.211640271384	0.031204525565	-0.210666467879	-0.702868049715	-0.655037860932	-0.113931704014	-0.0173831654912	1.0	-0.109905636976	-0.0670125978152	-0.0137842460678	0.310135776515	18.6668913885	207.923136262	13.0565184098	20.6313210856	181.225264888	4.93766334158	10.0905699637	13.9907541615	14.7493990081	14.6910331803	12.6437857783	63.1555320778	161.0	29.6	17.7	12.8	14.4	211980.0	15.8	439.3	12.0
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	54097	G10_1	10	search	1	1	-16.3574733273	15.48875067	-22.0755639442	-0.0	-49.3613635039	-8.04821420389	-0.943538156116	82.0392085879	-11.2750486834	-5.74986927661	-1.11212146651	22.5767439923	-0.199386044903	0.188796929378	-0.269085530251	-0.0	-0.601680152131	-0.0981020458683	-0.0115010636055	1.0	-0.13743487873	-0.0700868447609	-0.0135559750716	0.275194561001													147	44	12	17	7	71740.0	14	410	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	82774	G10_2	10	search	2	1	-21.1974827866	9.70355308167	-13.1586161349	-0.0	-47.4806658797	-8.50139709396	2.40562406215	82.0565220496	-13.0623203453	-7.43287007543	1.66861295631	34.2035191875	-0.258327824007	0.118254501157	-0.160360393132	-0.0	-0.578633662429	-0.103604160664	0.0293166710222	1.0	-0.159186863141	-0.0905823192328	0.0203349217665	0.416828770378													82	16	7	8	7	20280.0	8	246	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	55392	G10_3	10	search	3	1	-20.2535779442	36.4523438341	-18.7152264643	-0.0	-71.2829887233	-11.9111829483	-0.429218602919	85.4201910015	-4.41207889098	-3.78158786941	3.37458489547	13.1193420886	-0.237105275775	0.426741539754	-0.2190960503	-0.0	-0.834498119092	-0.139442242035	-0.00502479095266	1.0	-0.0516514753625	-0.0442704216072	0.0395057053362	0.153585960589													166	44	18	18	8	96080.0	16	457	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	42327	G10_4	10	search	4	1	-20.5093218652	3.9196239452	-14.1353242338	-0.0	-56.3063374396	-9.3103604547	-0.265513334966	84.7079356147	-9.42777725204	-5.42939017729	-4.93936409968	23.157448269	-0.242118069769	0.0462722166082	-0.166871310594	-0.0	-0.664711482236	-0.109911313351	-0.00313445644778	1.0	-0.111297450276	-0.0640954137047	-0.0583105238469	0.273379915364													26	4	4	2	2	-2340.0	2	108	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	96127	G10_5	10	search	5	1	-19.6205556909	30.1273805652	-12.9530081161	-0.0	-60.4577466315	-8.66210256064	1.9662173893	79.5290324271	-10.3200989648	-3.39828008867	-0.850094345683	28.717389869	-0.246709347418	0.378822420514	-0.162871441043	-0.0	-0.760197185688	-0.108917489579	0.024723265571	1.0	-0.12976517694	-0.0427300569989	-0.0106891071064	0.361093162995													40	7	4	3	4	2700.0	4	142	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	98459	G10_6	10	search	6	1	-18.349612974	13.8705076628	-22.6806936433	-0.0	-50.8721852643	-4.94118531681	-0.452463734138	86.0224467832	-7.70580153974	2.35161651719	-9.10715362172	28.3555570559	-0.213311916368	0.161242886961	-0.263660178145	-0.0	-0.591382681691	-0.0574406506857	-0.0052598333465	1.0	-0.0895789625603	0.0273372428375	-0.105869502232	0.329629743355													21	2	3	3	1	-1880.0	2	94	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	7931	G10_7	10	search	7	1	-20.8909691901	16.4847668239	-21.9178085825	-0.0	-67.1126922608	-9.08527528692	-1.77603550405	80.5743421237	-6.80123321205	-6.71359107608	-5.15108011727	30.4297796343	-0.259275702904	0.204590771571	-0.27201970261	-0.0	-0.832928826869	-0.112756431483	-0.0220421967743	1.0	-0.0844094166057	-0.083321698932	-0.0639295336642	0.377660913292													182	40	21	20	10	152140.0	18	498	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	5314	G10_8	10	search	8	1	-16.9798791821	13.0303663527	-22.1240476251	-0.0	-52.757216592	-9.5138684134	-0.384057042435	77.0974389153	-1.49326154696	-4.47843324511	0.858542148411	26.1107617886	-0.220239211847	0.169011662851	-0.286962160305	-0.0	-0.684292725339	-0.123400576559	-0.0049814500694	1.0	-0.0193684974232	-0.0580879638561	0.0111358063314	0.338672232904													95	39	17	6	1	-13500.0	9	280	11
