session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	mean_ht	max_ht	min_ht	all_ht	max_ht_diff	min_ht_diff	cleared	deep_wells	max_well	cuml_cleared	cuml_eroded	pit_depth	pit_rows	column_9	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	mean_ht_norm	max_ht_norm	min_ht_norm	all_ht_norm	max_ht_diff_norm	min_ht_diff_norm	cleared_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	cuml_eroded_norm	pit_depth_norm	pit_rows_norm	column_9_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	mean_ht_var	max_ht_var	min_ht_var	all_ht_var	max_ht_diff_var	min_ht_diff_var	cleared_var	deep_wells_var	max_well_var	cuml_cleared_var	cuml_eroded_var	pit_depth_var	pit_rows_var	column_9_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-06-14_13-27-35	score	80	200	10	800	4	0	100	1497446855.73	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0									
2017-06-14_13-27-35	score	80	200	10	800	4	0	100	1497446855.73	12995	G1_1	1	search	1	1	10.6335784617	-18.0535691468	-17.2968007497	32.4869299646	-4.41178921085	-8.673176541	7.23426661152	-4.37279503851	-10.5424755151	13.2766534793	-9.68015012594	0.0	-9.36432995917	-3.97828334139	3.75154150429	-1.61070902342	8.77102813223	-4.97455930982	0.0	-0.0	-6.00931306742	0.327318662405	-0.555717919989	-0.532423370524	1.0	-0.135801973768	-0.266974335539	0.222682371631	-0.134601670373	-0.324514367058	0.408676766125	-0.297970603455	0.0	-0.288249150331	-0.122457965272	0.115478486529	-0.0495802165725	0.269986365033	-0.153124943331	0.0	-0.0	-0.18497632968																						1	1	0	0	0	40	0	32	18
2017-06-14_13-27-35	score	80	200	10	800	4	0	100	1497446855.73	95326	G1_2	1	search	2	1	2.36862634377	-12.736919584	-4.00933697327	-4.66311135269	-18.8584720557	-1.22191992452	-13.6353416516	10.7048254954	-1.55970035598	-5.10232500677	-19.8641934561	0.0	-6.27397247344	-4.14485628898	1.6920097613	-2.99303485476	-6.85321121992	-0.0996671080168	-0.0	0.0	20.3845753993	0.116196991959	-0.624831242959	-0.196684841098	-0.228756854697	-0.925134406101	-0.0599433591616	-0.668904864806	0.525143412883	-0.0765137524538	-0.250303227161	-0.974471779123	0.0	-0.30778038544	-0.203332971513	0.0830044152578	-0.146828412961	-0.336195926855	-0.00488933941789	-0.0	0.0	1.0																						317	255	25	4	0	220400	31	800	18
2017-06-14_13-27-35	score	80	200	10	800	4	0	100	1497446855.73	42549	G1_3	1	search	3	1	-1.4676200217	2.99028932546	2.17506271005	-8.85188307107	-9.92967285002	-4.62388465172	9.66426364833	-14.4549710306	31.4244783521	16.959339933	-3.09909501759	-0.0	-1.65623753791	0.967319069048	-5.95701156835	23.3338436096	-3.08037514759	9.6821767919	-0.0	-0.0	-2.53704702004	-0.0467030830314	0.0951579622723	0.0692155550103	-0.28168751035	-0.315985288244	-0.147142765583	0.307539350058	-0.459990802987	1.0	0.539685647061	-0.0986204124971	-0.0	-0.0527053311547	0.0307823429305	-0.189565965156	0.742537182259	-0.0980247026878	0.308109387956	-0.0	-0.0	-0.0807347377929																						0	0	0	0	0	0	0	30	18
2017-06-14_13-27-35	score	80	200	10	800	4	0	100	1497446855.73	64761	G1_4	1	search	4	1	-14.2163476846	20.7316575788	8.66042120551	5.75709458808	7.63368867981	7.34536064061	-3.7203302402	-12.634602369	8.92774094086	4.74589564525	6.8665197572	0.0	-3.55833108581	5.92097650452	-9.57180708621	-14.2346726529	7.34903058501	8.77304676708	0.0	0.0	-11.7910253413	-0.685731357012	1.0	0.417738966245	0.27769581695	0.36821410207	0.354306480931	-0.179451653881	-0.609435223449	0.430633243238	0.228920221512	0.331209394671	0.0	-0.171637558275	0.285600728356	-0.461700037724	-0.686615269368	0.354483502203	0.423171506366	0.0	0.0	-0.568744939783																						1	1	0	0	0	40	0	36	18
2017-06-14_13-27-35	score	80	200	10	800	4	0	100	1497446855.73	82774	G1_5	1	search	5	1	-0.414721078541	10.8544552932	10.1149030769	2.61127951097	2.07475414999	11.2105035452	-4.2588143127	-6.98809302271	1.83813514447	-27.1197672906	-5.63620441163	-0.0	3.57096541091	-12.2057604689	13.6235317904	-5.45541786104	-3.18835647463	-7.16201046153	0.0	-0.0	-0.072913968146	-0.0152922063857	0.400241461399	0.372971602909	0.0962869438733	0.0765033905992	0.413370196913	-0.157037273479	-0.257675257602	0.0677784261484	-1.0	-0.207826429749	-0.0	0.131673895747	-0.450068775963	0.502346928143	-0.201160201803	-0.117565775564	-0.264088197542	0.0	-0.0	-0.00268859121705																						1	1	0	0	0	40	0	37	18
2017-06-14_13-27-35	score	80	200	10	800	4	0	100	1497446855.73	24242	G1_6	1	search	6	1	9.81988519954	-7.19485736921	-15.5865035829	-6.36614005193	-16.0060298756	8.49603510536	-4.91981086175	-4.33646336095	-8.45150023074	-4.05977819607	8.51063334502	-0.0	20.6250169862	-7.95331562829	-2.67979952275	-8.43975501393	9.66158285294	0.841111862693	-0.0	0.0	-6.59962091452	0.476115253924	-0.34884128212	-0.755708642247	-0.308661081647	-0.77604929423	0.411928635553	-0.238536087754	-0.210252595858	-0.409769370683	-0.196837568609	0.412636428408	-0.0	1.0	-0.385614985608	-0.129929566824	-0.409199906094	0.468439994955	0.0407811476353	-0.0	0.0	-0.319981356571																						6	4	1	0	0	260	0	56	18
2017-06-14_13-27-35	score	80	200	10	800	4	0	100	1497446855.73	69624	G1_7	1	search	7	1	3.7101225991	-3.24018744509	10.1379155829	-7.72876409532	9.81009562555	24.0172856778	-2.49850800983	-11.5643716254	-4.0991513426	8.82448271792	-10.7880380196	0.0	-23.8088073838	-8.6936248183	-6.82741901727	5.53201429907	10.396701719	-7.52470970728	-0.0	-0.0	14.8771534656	0.154477181513	-0.134910642633	0.422109130853	-0.321800065127	0.408459796712	1.0	-0.104029574505	-0.481502022356	-0.170675046197	0.367422149042	-0.449178069675	0.0	-0.991319656316	-0.361973660759	-0.284271049978	0.230334700318	0.432884125975	-0.313303918195	-0.0	-0.0	0.619435254472																						0	0	0	0	0	0	0	35	18
2017-06-14_13-27-35	score	80	200	10	800	4	0	100	1497446855.73	99827	G1_8	1	search	8	1	6.35153144618	1.64886499835	19.0104415207	-8.10372851046	4.52794090711	-6.07341409803	4.27790384407	-12.8409788436	-10.3729746845	9.75440155846	-7.2126718877	-0.0	18.8464090172	2.23113798115	-3.53339224823	-9.45336730942	15.4691489345	-1.5788671464	0.0	-0.0	-3.29929515576	0.334107518717	0.0867347029556	1.0	-0.426277764336	0.238181785636	-0.319477803366	0.225029168282	-0.675469784838	-0.545646174141	0.513107575532	-0.379405806007	-0.0	0.991371452196	0.117363817075	-0.185865869785	-0.497272369984	0.813718551338	-0.0830526289818	0.0	-0.0	-0.173551737458																						0	0	0	0	0	0	0	27	18
2017-06-14_13-27-35	score	80	200	10	800	4	0	100	1497446855.73	46456	G1_9	1	search	9	1	3.73492234841	-3.64474624857	-31.07399678	7.73814426359	4.95578589088	-21.5261749645	-9.80661833515	-10.2286475595	-4.61386083406	-1.74811242508	4.63883147415	0.0	-2.35060169305	-6.78659868367	-5.16271271779	-1.19312643677	2.34650836663	8.17931477341	0.0	0.0	20.4231561413	0.120194462748	-0.117292483306	-1.0	0.249023140421	0.159483375311	-0.692739177292	-0.315589217717	-0.329170644895	-0.148479800224	-0.0562564396675	0.149283386588	0.0	-0.0756452962809	-0.21840121603	-0.166142538868	-0.0383962978826	0.0755135679275	0.263220558054	0.0	0.0	0.657242654877																						2	2	0	0	0	80	0	37	18
