session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-07-06_13-33-48	score	80	200	10	600	4	0	100	1499348028.23	NIL	G0	0	base	0	0	-17.84303	-64.50654	-16.20005	-53.06947	-53.23822	-8.680245	-0.2771131	80.23337	-5.0577417	-4.9643727	4.779058	28.1126	-0.222389138086	-0.803986421111	-0.201911623555	-0.661438875121	-0.663542114709	-0.108187466138	-0.00345383847145	1.0	-0.0630378818689	-0.0618741640791	0.0595644680013	0.350385382042	21.5382	23.91866	7.74722	42.32221	40.21499	6.544137	20.36678	11.37082	6.894212	11.90838	21.49596	24.46683									
2017-07-06_13-33-48	score	80	200	10	600	4	0	100	1499348028.23	41497	G1_1	1	search	1	1	-14.1838007196	-65.2471551326	-18.080403419	-50.9675986556	-50.9881187982	-6.41018852442	0.0	78.0787777955	-7.54797937928	-3.784380483	-1.49030195125	31.6325111349	-0.181660127375	-0.83565799792	-0.231566168548	-0.652771471258	-0.653034284575	-0.0820989865032	0.0	1.0	-0.0966713310888	-0.048468746436	-0.0190871577825	0.405135838803													26	2	1	2	4	-140.0	2	109	11
2017-07-06_13-33-48	score	80	200	10	600	4	0	100	1499348028.23	9362	G1_2	1	search	2	1	-15.3262855515	-64.5933265786	-14.2522967435	-59.9824657931	-60.3900326647	-9.30042244374	0.0	74.8929902134	-9.38324206581	-4.41856547529	5.56720592229	16.8933950376	-0.204642457295	-0.862474931159	-0.190302145807	-0.800908945178	-0.806350934748	-0.124182816272	0.0	1.0	-0.125288655708	-0.0589983850652	0.0743354739399	0.225567105672													127	24	16	9	11	43540.0	12	360	11
2017-07-06_13-33-48	score	80	200	10	600	4	0	100	1499348028.23	34214	G1_3	1	search	3	1	-19.5822974196	-73.5705867657	-14.9655864284	-39.7762547925	-54.7979363054	-10.6348438775	-0.0	82.5730843858	-0.919139471496	-0.970001980036	8.03359518684	35.469613429	-0.237151095484	-0.890975398496	-0.181240491859	-0.481709688919	-0.663629519388	-0.128793104395	-0.0	1.0	-0.0111312236709	-0.0117471932561	0.097290724291	0.429554178494													122	27	12	9	11	56500.0	12	349	11
2017-07-06_13-33-48	score	80	200	10	600	4	0	100	1499348028.23	97505	G1_4	1	search	4	1	-19.8989508544	-70.1554653656	-13.5704642358	-58.1824226305	-54.4528986051	-7.89501618777	0.0	89.478295039	-8.1094235619	-10.1817794835	7.64280100517	37.8630894002	-0.222388578657	-0.784050090975	-0.151662078831	-0.650240626569	-0.608559858917	-0.0882338692789	0.0	1.0	-0.0906300635072	-0.113790494992	0.0854151389656	0.423153898761													84	8	7	10	8	14920.0	8	254	11
2017-07-06_13-33-48	score	80	200	10	600	4	0	100	1499348028.23	46311	G1_5	1	search	5	1	-14.6922949997	-61.9452168729	-19.017662907	-50.1381575274	-57.4481337412	-8.69716530517	-0.0	86.4652399033	-9.29699563689	-0.421748529054	-2.37408315224	27.2882710151	-0.169921404441	-0.716417567824	-0.219945760034	-0.57986489812	-0.664407267075	-0.100585684084	-0.0	1.0	-0.107522926523	-0.00487766563217	-0.0274570816538	0.3155981646													161	21	12	16	17	158880.0	16	446	11
2017-07-06_13-33-48	score	80	200	10	600	4	0	100	1499348028.23	954	G1_6	1	search	6	1	-18.0523956174	-71.9774671658	-17.8004711064	-62.4670140853	-48.6340491444	-10.2399400426	-0.0	77.7364193279	-5.01727603926	-8.20209593405	4.16512310123	31.9057496704	-0.232225715738	-0.925916935564	-0.228984963037	-0.803574625964	-0.625627595983	-0.131726417696	-0.0	1.0	-0.0645421551782	-0.105511625117	0.0535800740147	0.410435030919													237	35	32	22	18	273980.0	23	600	11
2017-07-06_13-33-48	score	80	200	10	600	4	0	100	1499348028.23	35788	G1_7	1	search	7	1	-12.7666846757	-58.4541643253	-15.4794045427	-56.7351074317	-62.6335580551	-6.48683051598	-0.0	79.4273618027	-8.37444344478	-4.73166735043	4.44989522265	24.7800609334	-0.160734089436	-0.735944931301	-0.194887557529	-0.714301799078	-0.788563999025	-0.0816699732782	-0.0	1.0	-0.105435246176	-0.0595722587662	0.0560247139229	0.311983935649													40	9	1	3	5	-4080.0	4	142	11
2017-07-06_13-33-48	score	80	200	10	600	4	0	100	1499348028.23	69548	G1_8	1	search	8	1	-24.1178031287	-66.7204054408	-14.6813326716	-55.0819672936	-51.0741248538	-9.71339589608	-0.0	80.827485856	-1.70173319134	-11.3361489986	7.02065285976	29.6092529501	-0.298386160021	-0.825466791825	-0.181637873752	-0.68147569741	-0.631890554469	-0.120174415834	-0.0	1.0	-0.0210538924145	-0.140251164298	0.0868597208662	0.366326536531													41	8	5	5	2	-11860.0	4	145	11
2017-07-06_13-33-48	score	80	200	10	600	4	0	100	1499348028.23	61271	G1_9	1	search	9	1	-22.7256164537	-67.2025302736	-19.5396423123	-55.68629877	-54.6921757374	-4.84659428079	0.0	77.8149081972	0.0942837511555	-4.37936797857	5.84284844771	34.2350267807	-0.292047076584	-0.863620247464	-0.251104097723	-0.715625065429	-0.702849582483	-0.0622836213917	0.0	1.0	0.00121164123097	-0.0562792924908	0.0750864915616	0.439954599624													49	0	2	3	9	21700.0	4	164	11
