session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	42271	G1_11	1	search	11	1	-14.0275259375	-71.8915014431	-0.0	-48.373377942	-51.3910678733	-9.97905030358	-0.0	83.3927244115	-7.84839823027	-0.391051330059	0.0	26.3871106225	-0.168210428865	-0.862083616411	-0.0	-0.58006712556	-0.61625361488	-0.119663320439	-0.0	1.0	-0.0941137045906	-0.00468927394828	0.0	0.316419817301													19	0	6	1	1	-3500.0	1	91	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	84886	G1_12	1	search	12	1	-20.8552069569	-68.1777887171	-0.0	-52.0428412663	-56.8135429085	-9.51750349164	-0.0	83.1819978467	-3.85738543783	-3.76428162464	0.0	29.9599763917	-0.250717793475	-0.819621919189	-0.0	-0.625650292293	-0.683002865755	-0.114417827631	-0.0	1.0	-0.0463728395288	-0.0452535611321	0.0	0.360173801631													8	0	1	2	0	-2000.0	0	60	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	71040	G1_13	1	search	13	1	-18.737230797	-68.7407368675	-0.0	-59.9738080614	-45.0010639523	-3.92304404223	-0.0	86.1307244529	-7.06673701591	-3.78474669589	-0.0	32.3836384422	-0.217544098415	-0.798097743913	-0.0	-0.696311431749	-0.522473997962	-0.0455475565444	-0.0	1.0	-0.0820466455007	-0.0439418885644	-0.0	0.375982422625													13	0	0	3	1	-1200.0	1	75	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	86796	G1_14	1	search	14	1	-9.37672652048	-59.8486122289	-0.0	-50.0874642837	-46.4669855053	-8.24703221318	-0.0	76.6013797425	-3.15264237472	-5.5899346113	0.0	32.9391125546	-0.1224093685	-0.781299402571	-0.0	-0.653871568007	-0.606607683328	-0.107661666682	-0.0	1.0	-0.0411564698354	-0.0729743332312	0.0	0.430006778798													27	5	2	2	3	-3600.0	2	108	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	56628	G1_15	1	search	15	1	-22.7863254449	-65.3548657032	-0.0	-51.9093476047	-47.5279808426	-11.9978646018	0.0	78.4999130635	-2.52202298738	1.65240639437	0.0	34.2860122331	-0.290271983186	-0.832546981936	-0.0	-0.661266306916	-0.605452655778	-0.152839208779	0.0	1.0	-0.0321277169484	0.0210497862976	0.0	0.43676497075													81	13	5	6	10	44660.0	8	246	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	98371	G1_16	1	search	16	1	-8.47344517045	-57.9991182791	-0.0	-55.7938163229	-59.0611868748	-8.79239030795	-0.0	80.0657666096	-4.03460804372	-3.91883401256	0.0	28.5749518517	-0.105831062753	-0.724393467209	-0.0	-0.696849835897	-0.737658419768	-0.109814602173	-0.0	1.0	-0.0503911748374	-0.0489451881685	0.0	0.3568935022													66	7	15	3	5	5560.0	6	208	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	92330	G1_17	1	search	17	1	-14.4087034638	-58.3651339091	-0.0	-41.0320563363	-52.6590717261	-12.6375405763	0.0	77.4101643463	-6.8091100769	0.212798655489	0.0	27.0795876552	-0.186134515868	-0.75397248413	-0.0	-0.530060318083	-0.680260430536	-0.163254279111	0.0	1.0	-0.0879614471096	0.00274897563242	0.0	0.349819534474													81	17	12	8	4	3660.0	8	245	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	87704	G1_18	1	search	18	1	-21.9818904694	-65.5154033728	-0.0	-61.3195972307	-60.4089519112	-6.57802870296	-0.0	84.5690194397	-8.06568890132	-2.87589221674	0.0	31.3577161148	-0.259928406585	-0.774697446025	-0.0	-0.725083460077	-0.714315387732	-0.0777829605515	-0.0	1.0	-0.095374038327	-0.0340064510123	0.0	0.370794367991													12	2	0	2	1	-2540.0	1	73	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	25554	G1_19	1	search	19	1	-27.0692041961	-70.7557359483	-0.0	-49.3519919592	-49.5313498688	-6.67332045188	0.0	75.252279913	-5.9191595764	-5.59771264148	-0.0	24.9848183678	-0.359712745281	-0.940247073313	-0.0	-0.655820554757	-0.658203976359	-0.0886793125683	0.0	1.0	-0.0786575447713	-0.0743859541259	-0.0	0.332014105043													35	3	2	4	4	-220.0	3	130	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	4150	G1_20	1	search	20	1	-16.344775392	-69.9053845941	-0.0	-53.7246445851	-53.5772905296	-11.2210079396	-0.0	82.0392278071	-6.1701832657	-3.97548632391	0.0	37.7074462359	-0.199231219368	-0.852097057258	-0.0	-0.654865312866	-0.653069171441	-0.136776128195	-0.0	1.0	-0.0752101577578	-0.0484583586434	0.0	0.459627025313													58	7	9	3	6	3460.0	5	185	9
