session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
2017-05-31_16-32-21	lines	80	100	10	-1	4	0	100	1496248341.23	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100								
2017-05-31_16-32-21	lines	80	100	10	-1	4	0	100	1496248341.23	94480	G1_1	1	search	1	1	140.474266023	-63.2037229265	-25.729530651	86.6121697702	94.5558897629	15.7365864222	1.0	-0.449930971102	-0.183161879962	0.616569655229	0.673118945129	0.112024692264							0	0	0	0	0	0	0	29
2017-05-31_16-32-21	lines	80	100	10	-1	4	0	100	1496248341.23	88716	G1_2	1	search	2	1	96.2904727628	-18.3019756623	123.931130597	115.328281074	50.8191615349	-52.9730489389	0.776967597235	-0.147678598381	1.0	0.930583627523	0.410059694364	-0.427439406738							0	0	0	0	0	0	0	27
2017-05-31_16-32-21	lines	80	100	10	-1	4	0	100	1496248341.23	15767	G1_3	1	search	3	1	-58.7066848512	-29.5782946074	-118.05889563	213.291692264	31.546816596	-118.199895181	-0.275241310283	-0.138675324357	-0.553509114098	1.0	0.147904572659	-0.554170178532							0	0	0	0	0	0	0	29
2017-05-31_16-32-21	lines	80	100	10	-1	4	0	100	1496248341.23	89112	G1_4	1	search	4	1	-21.8915130493	-25.1052016332	-40.1509830303	172.665432032	98.8033319022	77.5469263921	-0.126785731178	-0.145397960308	-0.23253631348	1.0	0.572224160559	0.449116684674							0	0	0	0	0	0	0	34
