session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-07-05_13-25-09	score	80	200	10	600	4	0	100	1499261109.67	NIL	G0	0	base	0	0	-17.84303	-64.50654	-16.20005	-53.06947	-53.23822	-8.680245	-0.2771131	80.23337	-5.0577417	-4.9643727	4.779058	28.1126	-0.222389138086	-0.803986421111	-0.201911623555	-0.661438875121	-0.663542114709	-0.108187466138	-0.00345383847145	1.0	-0.0630378818689	-0.0618741640791	0.0595644680013	0.350385382042	21.5382	23.91866	7.74722	42.32221	40.21499	6.544137	20.36678	11.37082	6.894212	11.90838	21.49596	24.46683									
2017-07-05_13-25-09	score	80	200	10	600	4	0	100	1499261109.67	72016	G1_1	1	search	1	1	-19.7180141959	-0.0	-0.0	-0.0	-51.1046039613	-10.1062042857	-7.4164476746	79.3944212679	-2.27952590306	-0.0	6.21967028336	31.2589531345	-0.248355159985	-0.0	-0.0	-0.0	-0.64368003627	-0.12729111346	-0.0934127052778	1.0	-0.0287114115407	-0.0	0.0783388830605	0.393717249087													32	3	6	3	2	-3860.0	3	123	8
2017-07-05_13-25-09	score	80	200	10	600	4	0	100	1499261109.67	89036	G1_2	1	search	2	1	-14.5941520887	-0.0	-0.0	-0.0	-49.4561217829	-10.6681477945	1.84114405596	84.2669095616	-1.88126369539	-0.0	11.7276099708	27.5211717421	-0.173189596778	-0.0	-0.0	-0.0	-0.586898487677	-0.126599490238	0.0218489566727	1.0	-0.0223250586165	-0.0	0.139172185522	0.326595242252													50	4	7	8	2	-400.0	5	168	8
2017-07-05_13-25-09	score	80	200	10	600	4	0	100	1499261109.67	53473	G1_3	1	search	3	1	-17.6690454325	-0.0	-0.0	-0.0	-50.1533323895	-11.2125446735	-2.44753097234	75.9026788642	-6.1218550414	-0.0	11.5498313822	24.2470954394	-0.232785531379	-0.0	-0.0	-0.0	-0.660758396674	-0.147722647492	-0.0322456467804	1.0	-0.0806540050103	-0.0	0.152166320807	0.319449798113													63	12	11	7	2	-4700.0	6	201	8
2017-07-05_13-25-09	score	80	200	10	600	4	0	100	1499261109.67	27024	G1_4	1	search	4	1	-17.9098871957	-0.0	-0.0	-0.0	-44.9704366455	-9.2177715395	-2.34599336656	83.5437278681	0.752544170902	-0.0	7.87385946508	29.8292522905	-0.214377400348	-0.0	-0.0	-0.0	-0.538286210026	-0.110334692678	-0.0280810232728	1.0	0.009007787779	-0.0	0.094248361499	0.357049572143													24	6	2	2	2	-3400.0	2	103	8
