session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
2017-05-31_16-23-29	lines	80	100	10	-1	4	0	100	1496247809.79	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100								
2017-05-31_16-23-29	lines	80	100	10	-1	4	0	100	1496247809.79	4691	G1_1	1	search	1	1	37.7221585923	74.8646904408	32.3539780981	-13.2600801542	109.252241426	-56.7093419199	0.345275832329	0.685246265555	0.296140176858	-0.121371241277	1.0	-0.519067995123							0	0	0	0	0	0	0	26
2017-05-31_16-23-29	lines	80	100	10	-1	4	0	100	1496247809.79	98847	G1_2	1	search	2	1	-47.9714095552	-113.086451274	-26.874521787	-7.37548725952	115.281817183	31.8903985567	-0.416122947463	-0.980956529284	-0.233120213088	-0.0639778886187	1.0	0.276629908652							0	0	0	0	0	0	0	29
2017-05-31_16-23-29	lines	80	100	10	-1	4	0	100	1496247809.79	51733	G1_3	1	search	3	1	-136.219992126	-102.349453764	-67.4451150176	14.9627370778	-169.90450419	-225.031254854	-0.605338099428	-0.454823281461	-0.299714433274	0.06649181727	-0.755026248686	-1.0							28	26	1	0	0	2180	2	113
2017-05-31_16-23-29	lines	80	100	10	-1	4	0	100	1496247809.79	2022	G1_4	1	search	4	1	99.4347467272	33.0933987143	86.2991430263	135.013754588	-95.3870229904	-79.2318433167	0.736478642716	0.245111313401	0.639187787122	1.0	-0.706498558471	-0.58684275212							2	2	0	0	0	80	0	38
