session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
2017-05-31_17-01-43	lines	80	100	10	-1	4	0	100	1496250103.48	NIL	G0	0	base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100								
2017-05-31_17-01-43	lines	80	100	10	-1	4	0	100	1496250103.48	38301	G1_1	1	search	1	1	-140.487632947	10.7705405364	16.083827235	93.1904155807	40.8660958488	-87.8590905424	-1.0	0.0766653997259	0.114485715914	0.663335367149	0.290887496583	-0.625386652899							0	0	0	0	0	0	0	31
2017-05-31_17-01-43	lines	80	100	10	-1	4	0	100	1496250103.48	31911	G1_2	1	search	2	1	70.8775846993	107.943579897	-50.6540809537	9.7353362353	38.1582606403	-33.2979257613	0.656616954586	1.0	-0.469264415743	0.0901891177276	0.353501900498	-0.308475277483							2	2	0	0	0	80	0	38
2017-05-31_17-01-43	lines	80	100	10	-1	4	0	100	1496250103.48	14300	G1_3	1	search	3	1	-4.11827461265	151.453140303	194.624119611	-33.1513527436	-54.6648932129	29.5271059534	-0.0211601451089	0.778182789505	1.0	-0.170335274014	-0.280874196489	0.151713497857							0	0	0	0	0	0	0	30
2017-05-31_17-01-43	lines	80	100	10	-1	4	0	100	1496250103.48	18607	G1_4	1	search	4	1	19.891609052	69.4748351623	7.96375243996	82.028922115	-5.90334102938	123.415453887	0.161175998836	0.562934648573	0.0645280002557	0.664656811864	-0.0478330779774	1.0							1	1	0	0	0	40	0	37
2017-05-31_17-01-43	lines	80	100	10	-1	4	0	100	1496250103.48	13151	G1_5	1	search	5	1	149.775583758	11.1049309324	-105.303571108	-93.4694608033	-139.216229863	43.1033181645	1.0	0.0741438000359	-0.70307568474	-0.624063405115	-0.92949882998	0.287786013467							2	2	0	0	0	80	0	40
