session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-06-27_13-14-16	score	80	200	10	600	4	0	100	1498569257.0	NIL	G0	0	base	0	0	-17.84303	-64.50654	-16.20005	-53.06947	-53.23822	-8.680245	-0.2771131	80.23337	-5.0577417	-4.9643727	4.779058	28.1126	-0.222389138086	-0.803986421111	-0.201911623555	-0.661438875121	-0.663542114709	-0.108187466138	-0.00345383847145	1.0	-0.0630378818689	-0.0618741640791	0.0595644680013	0.350385382042	21.5382	23.91866	7.74722	42.32221	40.21499	6.544137	20.36678	11.37082	6.894212	11.90838	21.49596	24.46683									
2017-06-27_13-14-16	score	80	200	10	600	4	0	100	1498569257.0	97248	G1_1	1	search	1	1	-18.7053716087	-62.3133553202	-15.2772646074	-47.3730301729	-55.4906791029	-8.96218843544	-2.51545756879	80.358814525	-1.94567786631	-9.76888665562	1.85281810651	25.921399502	-0.232773115423	-0.77543895699	-0.190113115751	-0.589518778405	-0.690536308068	-0.111527135989	-0.0313028207753	1.0	-0.0242123764246	-0.121565838338	0.0230568123418	0.322570705594													216	43	29	17	16	288480.0	21	583	12
2017-06-27_13-14-16	score	80	200	10	600	4	0	100	1498569257.0	78654	G1_2	1	search	2	1	-17.2083500238	-60.2562571333	-14.8249583751	-52.2921141402	-48.6230584337	-5.49637521793	1.61776640506	85.0850423341	-8.97808974604	-5.37818693229	8.31467100203	32.137336912	-0.202248827194	-0.708188601431	-0.174236951271	-0.614586450282	-0.571464232724	-0.0645986070777	0.0190135229493	1.0	-0.10551901368	-0.0632095464109	0.0977218882889	0.377708420075													106	9	4	11	14	101760.0	10	307	12
2017-06-27_13-14-16	score	80	200	10	600	4	0	100	1498569257.0	51036	G1_3	1	search	3	1	-19.9524057998	-59.8896494684	-15.8424401332	-43.5926643295	-54.7637883153	-9.61966436001	-4.54480969925	81.6582942694	-1.39886392012	-6.24820509274	14.2890719847	30.3318441654	-0.244340222611	-0.733417835925	-0.194008952488	-0.533842455559	-0.670645753811	-0.117803885644	-0.0556564368618	1.0	-0.0171307021857	-0.076516478193	0.174986167817	0.371448417296													234	61	32	19	13	277000.0	23	600	12
2017-06-27_13-14-16	score	80	200	10	600	4	0	100	1498569257.0	82156	G1_4	1	search	4	1	-10.7550482133	-75.3090595917	-19.045984871	-63.562979035	-65.2389718914	-6.33593130499	3.0522729073	80.4673492012	-5.95210991376	-5.76096734125	5.12257627391	25.9200413182	-0.133657294792	-0.93589586757	-0.236692087662	-0.789922616639	-0.810750851607	-0.0787391577813	0.0379318187762	1.0	-0.0739692555161	-0.0715938501571	0.0636603084949	0.322118742267													41	5	5	6	2	3600.0	4	145	12
2017-06-27_13-14-16	score	80	200	10	600	4	0	100	1498569257.0	67627	G1_5	1	search	5	1	-18.6739025152	-61.598198517	-17.4317961664	-64.6722107987	-52.4660922642	-6.59589617075	-1.49645746401	79.1778941284	-2.09355909623	-13.9725409978	7.86665983204	22.2080899518	-0.23584742586	-0.777972175127	-0.22015988627	-0.816796297889	-0.662635611136	-0.0833047688797	-0.0188999401977	1.0	-0.026441207098	-0.176470227601	0.099354244245	0.280483463172													179	28	14	17	18	230940.0	17	491	12
2017-06-27_13-14-16	score	80	200	10	600	4	0	100	1498569257.0	74150	G1_6	1	search	6	1	-18.7939184333	-64.3597805156	-16.9127905249	-52.2537135204	-46.8226047667	-6.12110116645	-3.35270179322	77.9687917253	-4.71509670328	0.139314922908	3.93898758289	28.7736298963	-0.241044115439	-0.82545566106	-0.216917437742	-0.670187550226	-0.600530080442	-0.0785070671354	-0.0430005611096	1.0	-0.0604741538113	0.00178680366625	0.0505200541875	0.369040346266													6	4	1	0	0	-2140.0	0	58	12
2017-06-27_13-14-16	score	80	200	10	600	4	0	100	1498569257.0	3644	G1_7	1	search	7	1	-13.4136453363	-63.0021587803	-15.8153761026	-51.8198782003	-52.2406818826	-10.4155171639	11.0551458739	81.452436142	-4.62773304543	1.06450657898	13.0460244536	34.3654339234	-0.164680713944	-0.773484032699	-0.194167011469	-0.63619801512	-0.641364265539	-0.127872383654	0.135725171616	1.0	-0.056815158203	0.0130690575924	0.160167394267	0.421907993807													229	27	22	18	26	413060.0	22	600	12
2017-06-27_13-14-16	score	80	200	10	600	4	0	100	1498569257.0	21271	G1_8	1	search	8	1	-12.0767142593	-65.1420379339	-19.5829298314	-51.6960111574	-45.2521723222	-11.5039420918	-5.82920388116	75.2827609029	-4.73192928226	4.80048134152	1.97920139757	17.9036307805	-0.160418057395	-0.865298205759	-0.260125021938	-0.686691223028	-0.601096078032	-0.152809779475	-0.0774307930693	1.0	-0.062855416373	0.0637660107566	0.0262902339636	0.237818466881													195	57	19	16	13	178020.0	19	530	12
2017-06-27_13-14-16	score	80	200	10	600	4	0	100	1498569257.0	83025	G1_9	1	search	9	1	-13.9314994978	-61.3592947095	-19.8357972665	-54.4080065602	-60.320435474	-5.83435781275	5.76878775742	81.2442672715	-8.09707518095	-7.47172551621	0.981289582274	22.3633424241	-0.171476708028	-0.755244607036	-0.24415011585	-0.669684254501	-0.742457745017	-0.0718125476256	0.0710054746157	1.0	-0.0996633418317	-0.0919661874879	0.0120782624452	0.275260558992													61	2	6	5	8	28340.0	6	195	12
