session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	lines	l1	l2	l3	l4	score	level	eps
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	55570	G1_17	1	search	17	1	-63.1867026836	-205.58148366	9.42967345036	59.2637083754	9.95494877612	42.4767274978	-0.307356000932	-1.0	0.0458683013784	0.288273570752	0.0484233725668	0.206617477126							0	0	0	0	0	0	0	18
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	86350	G1_18	1	search	18	1	34.2405792897	7.14467535712	-147.550368234	-54.6133664918	-65.4824322925	-61.4463136333	0.232060276768	0.0484219418943	-1.0	-0.370133718712	-0.443797145857	-0.416442970415							65	58	2	1	0	10320	6	204
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	62834	G1_19	1	search	19	1	133.895682591	111.936756777	-34.3355181628	55.714806429	-26.7950805826	60.3272005729	1.0	0.835999747052	-0.25643484165	0.416106071166	-0.200119078257	0.450553740087							0	0	0	0	0	0	0	7
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	70829	G1_20	1	search	20	1	193.370966862	48.2863495786	-46.0787984356	-85.13829903	5.69656690963	-124.869122434	1.0	0.249708373301	-0.238292227543	-0.440284808065	0.0294592668283	-0.645749072162							0	0	0	0	0	0	0	16
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	76202	G1_21	1	search	21	1	-159.011375845	18.1268301499	-91.0495118863	-37.6863892113	75.3165026364	-11.4566675254	-1.0	0.113997065013	-0.572597472368	-0.237004359035	0.473654807629	-0.072049357881							18	18	0	0	0	1040	1	83
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	96123	G1_22	1	search	22	1	13.1488577442	200.292359301	99.5471598673	-0.16375106474	198.617755539	55.4994222282	0.0656483242298	1.0	0.497009272917	-0.000817560217029	0.991639202972	0.277092058937							0	0	0	0	0	0	0	10
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	48911	G1_23	1	search	23	1	29.9948960753	32.9332407631	-30.2141948014	100.661132917	-33.4208747974	-13.4322021418	0.297978924001	0.327169383145	-0.300157507927	1.0	-0.332013696139	-0.13343980693							0	0	0	0	0	0	0	31
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	6960	G1_24	1	search	24	1	73.3661657247	-54.3755502096	-152.616682132	-40.7728652454	134.612210459	324.342834181	0.22619943465	-0.167648378442	-0.470541248484	-0.125709160026	0.415030628928	1.0							0	0	0	0	0	0	0	11
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	91408	G1_25	1	search	25	1	-27.0574946096	-234.587718689	-120.342337198	-153.244315017	-136.031486672	-25.1366952715	-0.115340627211	-1.0	-0.512995044541	-0.653249521642	-0.579874715659	-0.10715264811							100	67	9	5	0	28940	10	283
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	90182	G1_26	1	search	26	1	-52.1815141705	-107.942150542	-33.3544019035	32.8368643804	73.9420138444	119.650472541	-0.436116239762	-0.902145626753	-0.278765316969	0.274439905526	0.617983466959	1.0							0	0	0	0	0	0	0	16
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	87173	G1_27	1	search	27	1	-33.9886569028	-63.8249788423	-124.964451888	34.572923366	-59.6712554429	-184.118627109	-0.184601946237	-0.346651394508	-0.678717052423	0.187775261573	-0.324091355556	-1.0							7	5	1	0	0	300	0	57
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	20526	G1_28	1	search	28	1	-19.2922698461	44.0967424528	-13.2049652021	-90.1241401956	5.02916652596	85.148480568	-0.214063288751	0.489288911462	-0.146519735705	-1.0	0.0558026574794	0.944791044699							0	0	0	0	0	0	0	17
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	72378	G1_29	1	search	29	1	-32.4383047812	-64.1252553444	-236.685403578	-49.4020841404	-98.5671255549	-135.264424104	-0.137052409193	-0.270930333578	-1.0	-0.208724675851	-0.416447842008	-0.571494574904							42	34	4	0	0	4600	4	145
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	20469	G1_30	1	search	30	1	-84.8917807749	55.1063048265	57.3354750354	146.974913218	-92.4431875025	77.3176336736	-0.577593678513	0.374936808057	0.390103819624	1.0	-0.628972560542	0.526060073658							0	0	0	0	0	0	0	10
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	51866	G1_31	1	search	31	1	83.3612219515	75.036231606	10.0472858371	-0.321759082497	57.3207346642	17.485111696	1.0	0.900133537505	0.120527094036	-0.00385981725033	0.687618695148	0.209751144317							0	0	0	0	0	0	0	11
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	12068	G1_32	1	search	32	1	9.93709794762	-16.8900895067	183.492000606	-54.7744239754	-71.6069060018	-40.240690993	0.0541554831536	-0.0920480971976	1.0	-0.298511236428	-0.390245382717	-0.219304879015							0	0	0	0	0	0	0	13
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	22285	G1_33	1	search	33	1	183.783179508	-39.0961050167	-148.762080201	-151.939717935	68.7645198192	207.009058882	0.887802594246	-0.188861807439	-0.71862594325	-0.733976178409	0.332181210766	1.0							0	0	0	0	0	0	0	7
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	45061	G1_34	1	search	34	1	45.7017218555	95.4962236241	-63.4585795062	121.697088857	75.6732543254	92.615459615	0.375536689372	0.784704256454	-0.521446980386	1.0	0.621816471012	0.761032663024							0	0	0	0	0	0	0	9
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	4363	G1_35	1	search	35	1	236.071782245	81.989170237	-149.448773812	40.5971176289	-134.284932131	-33.6493663437	1.0	0.347306100955	-0.633064961815	0.171969378309	-0.568830932921	-0.142538705913							0	0	0	0	0	0	0	13
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	52052	G1_36	1	search	36	1	-139.484708354	-110.788510513	-8.59333660546	82.8302493996	24.5611004815	-10.3557649962	-1.0	-0.794269936976	-0.0616077325384	0.593830322888	0.176084538379	-0.0742430128611							0	0	0	0	0	0	0	28
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	10102	G1_37	1	search	37	1	60.0059401484	-60.3455555408	-54.4661793544	-188.649514257	85.1678074535	-51.5262253615	0.318081604316	-0.319881849569	-0.288716244878	-1.0	0.451460518141	-0.273132033042							0	0	0	0	0	0	0	17
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	4413	G1_38	1	search	38	1	-12.7928744206	-70.7558866053	-68.080856846	162.872072423	-248.217393437	-37.5280771058	-0.0515389926687	-0.285056118048	-0.274279154668	0.656167040381	-1.0	-0.151190360136							0	0	0	0	0	0	0	34
2017-11-19_00-37-50	score	80	100	10	-1	4	0	100	1511051870.12	21933	G1_39	1	search	39	1	-107.974697366	114.162673653	-98.5312924846	-83.7593353847	-157.990016494	-48.6660845461	-0.683427344096	0.722594225801	-0.623655181962	-0.530155874678	-1.0	-0.308032656911							103	76	12	1	0	26300	10	293
