session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	61878	G1_11	1	search	11	1	-18.1393005885	-49.8370049019	-21.3603924239	-54.6205938652	-61.5539076978	-7.10056242879	-1.95257669163	73.6227653776	-0.0	-0.0	0.613174812516	0.0	-0.246381679573	-0.676923837978	-0.290132981482	-0.74189815589	-0.836071660472	-0.0964452013229	-0.026521371231	1.0	-0.0	-0.0	0.00832860337929	0.0													235	58	23	17	20	274220.0	23	600	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	61201	G1_12	1	search	12	1	-15.144380241	-43.2139544218	-21.849984182	-62.5357388464	-53.0918627024	-5.60604907524	1.50655760605	81.4491132463	-0.0	-0.0	-10.9537994948	0.0	-0.185936711124	-0.530563841635	-0.268265464302	-0.767789069197	-0.651840892875	-0.0688288534006	0.0184969184562	1.0	-0.0	-0.0	-0.134486418061	0.0													56	7	1	5	8	19380.0	5	182	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	11436	G1_13	1	search	13	1	-24.1171869393	-50.9369689062	-22.3670051434	-63.6841144703	-65.5794467343	-6.95861370701	-3.88372222249	73.8299027839	-0.0	-0.0	-3.67545987491	0.0	-0.326658793116	-0.689923282918	-0.302953197824	-0.862578874805	-0.888250482006	-0.0942519689804	-0.0526036480619	1.0	-0.0	-0.0	-0.0497828079994	0.0													120	25	13	15	6	28320.0	12	343	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	83488	G1_14	1	search	14	1	-20.183216121	-40.8765086814	-16.7787371302	-53.3624253276	-58.5083301695	-3.93342984585	1.13585813849	86.8743388104	-0.0	-0.0	3.95821992878	0.0	-0.232326558076	-0.470524544314	-0.193138012444	-0.614248419709	-0.673482307557	-0.0452772349086	0.0130747255639	1.0	-0.0	-0.0	0.045562590553	0.0													16	2	0	2	2	-1940.0	1	82	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	79197	G1_15	1	search	15	1	-20.827334868	-51.7896312864	-19.1449995446	-59.6857220383	-57.1630652844	-11.5596598954	0.722600319549	82.3645248271	-0.0	-0.0	-2.0829849863	0.0	-0.252867783936	-0.628785650073	-0.232442299458	-0.724653267454	-0.694025314957	-0.140347557637	0.00877319842572	1.0	-0.0	-0.0	-0.0252898318866	0.0													122	22	8	12	12	85240.0	12	344	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	27632	G1_16	1	search	16	1	-18.3523059329	-40.7751603844	-20.7351701377	-54.1235257362	-53.004386844	-3.54899183439	-1.32495043744	71.3074034303	-0.0	-0.0	11.7211363206	0.0	-0.257368871254	-0.571822257197	-0.29078565675	-0.759016920159	-0.743322352156	-0.0497703136513	-0.0185808257446	1.0	-0.0	-0.0	0.164374745913	0.0													35	0	1	3	6	9800.0	3	129	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	2110	G1_17	1	search	17	1	-17.7502710101	-41.4946029813	-19.6948976472	-53.8677848509	-57.3187780103	-4.86290224223	-2.29442254506	80.2632776834	0.0	-0.0	-3.72027507508	0.0	-0.221150587447	-0.516981167215	-0.245378686438	-0.671138612895	-0.714134529073	-0.0605868883328	-0.0285862054389	1.0	0.0	-0.0	-0.0463508989721	0.0													31	2	4	7	0	-6860.0	3	120	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	4108	G1_18	1	search	18	1	-20.7434390048	-56.2494506547	-18.5614108728	-53.318224033	-63.9874356556	-11.6272379026	-0.108515871708	77.5259010142	-0.0	-0.0	6.80302976642	0.0	-0.267567854529	-0.725556877364	-0.239422059338	-0.687747234607	-0.825368487416	-0.149978752269	-0.00139973699484	1.0	-0.0	-0.0	0.0877517020431	0.0													237	74	28	21	11	202160.0	23	600	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	21481	G1_19	1	search	19	1	-16.7966930814	-48.710684567	-15.3568536893	-53.9530747989	-44.4246474254	-4.04943015529	-2.90130653855	76.5970721595	0.0	-0.0	-10.8015347691	0.0	-0.219286359228	-0.635934027159	-0.200488781834	-0.704375157924	-0.57997840091	-0.0528666441304	-0.0378775122437	1.0	0.0	-0.0	-0.141017593291	0.0													12	2	0	2	1	-2540.0	1	73	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	92522	G1_20	1	search	20	1	-20.2706737263	-51.2406667058	-18.7300469628	-65.8495060402	-61.946239861	-5.29377966614	-3.00477218361	73.4963395844	-0.0	-0.0	1.88389665578	0.0	-0.275805214803	-0.697186648962	-0.254843262518	-0.895956266836	-0.842847959658	-0.0720278002424	-0.0408832902509	1.0	-0.0	-0.0	0.0256325235574	0.0													109	13	11	14	8	53840.0	10	316	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	2555	G1_21	1	search	21	1	-23.0364273109	-55.1953419917	-21.804089784	-57.3188122904	-66.9889769005	-8.11097033948	2.81605252263	80.6822367435	0.0	-0.0	9.35385861501	0.0	-0.285520434742	-0.684107732005	-0.270246471393	-0.710426663958	-0.830281603539	-0.100529815073	0.0349030051259	1.0	0.0	-0.0	0.115934547585	0.0													228	29	15	19	28	392480.0	22	600	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	11786	G1_22	1	search	22	1	-18.6548800508	-52.3198560352	-17.7271168352	-54.7394328114	-58.1483693153	-10.6181988723	-7.18850127024	85.0640620363	0.0	-0.0	-0.791363223184	0.0	-0.21930389408	-0.615064162029	-0.20839725274	-0.643508333614	-0.683583265639	-0.124825909063	-0.0845069127686	1.0	0.0	-0.0	-0.00930314405684	0.0													194	37	19	21	14	191520.0	19	528	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	85144	G1_23	1	search	23	1	-28.0684621782	-47.8844596673	-23.3727946811	-49.757269409	-58.3822566247	-6.17050164558	-1.7104301305	70.5155612205	-0.0	-0.0	3.91105265893	0.0	-0.398046355901	-0.679062306794	-0.33145584147	-0.705621121746	-0.827934368162	-0.0875055312441	-0.0242560663333	1.0	-0.0	-0.0	0.055463681934	0.0													153	37	25	14	6	56980.0	15	426	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	19050	G1_24	1	search	24	1	-19.223608053	-44.4179735452	-24.9649447854	-52.4507781515	-58.2802849807	-8.37430213126	-1.34118958683	85.4494985848	-0.0	-0.0	7.13725210468	0.0	-0.224970402067	-0.519815496649	-0.292160225617	-0.613821953553	-0.682043615772	-0.0980029405667	-0.0156956987348	1.0	-0.0	-0.0	0.0835259682372	0.0													53	9	7	6	3	-3020.0	5	176	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	30575	G1_25	1	search	25	1	-21.4733437479	-44.0192595386	-21.8192901493	-59.2978973637	-57.5710467578	-13.0819599848	-0.0374589448522	80.1664097408	-0.0	-0.0	15.6904618592	0.0	-0.267859616232	-0.549098552385	-0.272174969789	-0.739685082011	-0.718144256978	-0.163185055027	-0.000467264842886	1.0	-0.0	-0.0	0.195723644229	0.0													233	75	34	18	9	136840.0	23	600	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	22640	G1_26	1	search	26	1	-14.9872447475	-50.9209460086	-20.1640565483	-59.32823928	-56.6841583105	-10.6164540509	0.857643710504	80.3629428824	-0.0	-0.0	1.60442133531	0.0	-0.186494473821	-0.633637148942	-0.250912371113	-0.738253691963	-0.705351948018	-0.13210633745	0.0106721292146	1.0	-0.0	-0.0	0.0199646911595	0.0													110	20	12	14	6	29800.0	11	319	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	79391	G1_27	1	search	27	1	-15.2910124752	-49.5672013023	-16.2832206437	-52.0998557588	-65.7374252516	-10.3980347007	-10.0936262329	83.3306216527	0.0	-0.0	-3.71648696606	0.0	-0.183498120761	-0.594825771358	-0.195405006236	-0.625218613824	-0.788874773137	-0.124780476787	-0.121127456302	1.0	0.0	-0.0	-0.0445992948612	0.0													232	59	29	13	19	277760.0	23	600	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	71713	G1_28	1	search	28	1	-15.5712049843	-46.6162795777	-19.7853509573	-58.2006684546	-59.9257757628	-12.8963465776	1.12591996655	78.0108893961	0.0	-0.0	-1.12598045103	0.0	-0.199602967033	-0.597561185863	-0.253622937907	-0.74605826065	-0.768171933774	-0.16531469744	0.0144328564289	1.0	0.0	-0.0	-0.0144336317628	0.0													239	46	42	15	16	303660.0	23	600	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	61609	G1_29	1	search	29	1	-21.4311891381	-58.2911844893	-25.3441611476	-47.9101400964	-54.6165685868	-7.68712114107	-2.01049939023	74.6724952063	-0.0	-0.0	7.92735350904	0.0	-0.287002450887	-0.780624570376	-0.33940423549	-0.641603577918	-0.731414805892	-0.102944479354	-0.0269242293923	1.0	-0.0	-0.0	0.106161626006	0.0													228	48	23	26	14	221260.0	22	600	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	1745	G1_30	1	search	30	1	-12.3566807714	-51.1728275456	-20.0545967841	-57.3574432485	-57.3692065249	-8.11573938959	-3.72999482976	74.2606520069	-0.0	-0.0	6.30485604611	0.0	-0.16639607164	-0.689097471712	-0.270056836859	-0.772380011465	-0.772538416705	-0.109287208909	-0.0502284147655	1.0	-0.0	-0.0	0.0849017060277	0.0													17	5	1	2	1	-5600.0	1	86	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	9715	G1_31	1	search	31	1	-9.40111435782	-52.1993592847	-25.7511476117	-56.1561311218	-57.7679641821	-5.32824554518	-2.94622256821	85.6154266333	-0.0	-0.0	5.64294767623	0.0	-0.109806313272	-0.609695721173	-0.300776958363	-0.655911362357	-0.674737794972	-0.0622346433897	-0.0344122862441	1.0	-0.0	-0.0	0.0659104077166	0.0													6	3	0	1	0	-3180.0	0	59	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	16190	G1_32	1	search	32	1	-7.64060094261	-51.1786127735	-20.3553722923	-53.4616169729	-52.4743101156	-8.84476149813	1.04903218382	79.9083690103	-0.0	-0.0	-3.37574013173	0.0	-0.0956170303216	-0.640466241614	-0.254733922671	-0.669036518139	-0.656681030604	-0.110686297414	0.0131279388731	1.0	-0.0	-0.0	-0.042245138695	0.0													124	18	7	16	11	88340.0	12	354	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	32006	G1_33	1	search	33	1	-26.3741157239	-62.1656848313	-21.450535926	-53.043214952	-48.2516437534	-11.6398612075	3.71921293111	71.9713744346	-0.0	-0.0	4.2248451071	0.0	-0.366452856168	-0.863755698979	-0.298042605056	-0.737004334969	-0.670428265855	-0.161729038787	0.0516762804702	1.0	-0.0	-0.0	0.0587017427454	0.0													235	65	24	22	14	238240.0	23	600	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	44402	G1_34	1	search	34	1	-21.8258718783	-40.6089742895	-19.2509845763	-57.1942112929	-60.6485853078	-7.19083133729	3.2005434677	72.347072124	-0.0	-0.0	5.09393175678	0.0	-0.301682863419	-0.561307777872	-0.266092103124	-0.790553226465	-0.838300480272	-0.0993935362714	0.044238742132	1.0	-0.0	-0.0	0.070409646268	0.0													19	7	1	2	1	-7160.0	1	89	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	73722	G1_35	1	search	35	1	-16.9883538888	-49.6226966376	-18.5549295205	-57.6063533203	-65.5125648114	-11.2279447103	2.12704606444	74.5532480224	-0.0	-0.0	4.20835397602	0.0	-0.227868729257	-0.665600734427	-0.248881571396	-0.772687372427	-0.878735220118	-0.150603025464	0.0285305619925	1.0	-0.0	-0.0	0.0564476275367	0.0													100	24	13	10	5	18940.0	10	293	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	42269	G1_36	1	search	36	1	-12.6163774214	-56.5610235473	-18.630787509	-59.0938155446	-56.8763747438	-8.23522506567	-2.63866864777	83.6531152267	0.0	-0.0	-0.847227840468	0.0	-0.150817783501	-0.676137683505	-0.222714808151	-0.706415001814	-0.679907431895	-0.0984449299151	-0.0315429812819	1.0	0.0	-0.0	-0.0101278695739	0.0													71	12	9	7	5	7680.0	7	221	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	95061	G1_37	1	search	37	1	-22.5613397613	-41.6839621268	-17.2917227686	-56.3752354606	-55.5630984055	-4.85437730742	-1.99477918111	78.5188332432	-0.0	-0.0	-4.15834176366	0.0	-0.287336665987	-0.530878521815	-0.22022388839	-0.717983611474	-0.707640397984	-0.0618243688414	-0.0254051047209	1.0	-0.0	-0.0	-0.0529598007498	0.0													78	2	3	6	13	58340.0	7	237	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	85902	G1_38	1	search	38	1	-18.1779300673	-56.1984730661	-25.6866149244	-54.2294463957	-53.880332557	-1.16422912264	-0.239927905901	80.3315953983	-0.0	-0.0	10.4494505048	0.0	-0.226286182631	-0.699581189536	-0.319757310894	-0.675069953818	-0.670724044379	-0.0144927922428	-0.00298671904512	1.0	-0.0	-0.0	0.130078961496	0.0													10	2	1	2	0	-3720.0	1	67	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	44325	G1_39	1	search	39	1	-14.1068417618	-48.7017131684	-16.5647211661	-61.7657731021	-46.489413396	-5.33536630268	-9.56725918446	76.5309251619	-0.0	-0.0	-4.71153479657	0.0	-0.184328645341	-0.636366450104	-0.216444804908	-0.807069468603	-0.607459184606	-0.0697151679716	-0.125011675531	1.0	-0.0	-0.0	-0.0615638029541	0.0													107	16	10	9	11	59280.0	10	310	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	93104	G1_40	1	search	40	1	-17.7191476863	-50.4813504176	-16.7053799494	-62.1769586935	-63.5178314839	-5.7189106868	0.210062841652	78.1295316815	-0.0	-0.0	1.88008922989	0.0	-0.2267919352	-0.646123806596	-0.213816460817	-0.795818909385	-0.8129810856	-0.0731978109137	0.00268864841668	1.0	-0.0	-0.0	0.0240637463124	0.0													197	10	11	11	33	402260.0	19	535	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	38842	G1_41	1	search	41	1	-20.057997996	-53.8318412119	-15.5413224904	-51.5177847903	-57.7672132849	-9.92355478628	-5.09006651785	82.2675955542	0.0	-0.0	5.03734855984	0.0	-0.243814078446	-0.65435048696	-0.188911835647	-0.626222079827	-0.702186722436	-0.120625316924	-0.0618720710574	1.0	0.0	-0.0	0.0612312603268	0.0													160	29	23	11	13	119820.0	16	442	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	30802	G1_42	1	search	42	1	-20.6684570964	-57.3945341391	-23.1988360999	-49.0196313784	-54.3321465154	-10.5048302257	-0.829406472048	79.9150019732	-0.0	-0.0	-5.18638628654	0.0	-0.258630502234	-0.718194740936	-0.290293881337	-0.613397111532	-0.679874180991	-0.131450040246	-0.0103786079155	1.0	-0.0	-0.0	-0.0648987819368	0.0													235	77	38	14	10	138860.0	23	600	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	23306	G1_43	1	search	43	1	-19.004557454	-55.9050195086	-16.3320249972	-54.7346255933	-58.1603986846	-2.19888521795	-1.65578419999	81.0467696392	-0.0	-0.0	2.21280489433	0.0	-0.234488771589	-0.6897871409	-0.201513583698	-0.675346171562	-0.71761526022	-0.0271310655285	-0.0204299839137	1.0	-0.0	-0.0	0.0273028142168	0.0													6	0	1	0	1	-500.0	0	57	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	77643	G1_44	1	search	44	1	-22.0610180498	-56.4650490473	-16.4904576682	-63.4059502654	-50.9486166075	-11.3252350817	4.24476377187	73.8319120131	-0.0	-0.0	3.79376340214	0.0	-0.298800578886	-0.764778366261	-0.223351356054	-0.858787867422	-0.690062267364	-0.153392141324	0.0574922639294	1.0	-0.0	-0.0	0.0513837891868	0.0													159	44	17	15	9	95500.0	15	439	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	69607	G1_45	1	search	45	1	-13.1458555922	-51.9682958861	-19.9222737756	-58.5722845542	-59.0972262254	-5.33593695496	1.1537541251	79.834849474	-0.0	-0.0	0.630301892547	0.0	-0.164663122419	-0.650947502607	-0.249543575354	-0.733668127893	-0.740243472803	-0.0668371893993	0.0144517605119	1.0	-0.0	-0.0	0.0078950720982	0.0													54	3	2	1	11	26240.0	5	176	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	96999	G1_46	1	search	46	1	-11.7605358635	-43.5476364001	-18.7559072837	-51.7457557371	-62.624795071	-6.51856996034	-3.4867397917	72.7913062492	-0.0	-0.0	9.5054307424	0.0	-0.161565116352	-0.59825326188	-0.257666859549	-0.71087824087	-0.860333442247	-0.0895514903665	-0.0479004976194	1.0	-0.0	-0.0	0.130584697984	0.0													119	9	9	8	17	120780.0	11	340	9
2017-07-07_13-18-53	score	64	200	10	600	4	0	100	1499433533.79	26703	G1_47	1	search	47	1	-15.309650264	-47.4949721496	-15.7366686683	-56.5880415074	-56.2575106255	-15.0612371791	2.41344412226	87.3721972928	-0.0	-0.0	0.324198150136	0.0	-0.175223363248	-0.543593655891	-0.180110712056	-0.647666457532	-0.643883436249	-0.172380203838	0.0276225641227	1.0	-0.0	-0.0	0.00371054134131	0.0													120	28	15	10	8	35240.0	12	344	9
